cell_id,cell_name
1,105KC
2,1321N1
3,143B
4,184A1
5,184B5
6,2004
7,201T
8,21MT1
9,21MT2
10,21NT
11,21PT
12,22RV1
13,23132-87
14,253J
15,253J-BV
16,42-MG-BA
17,451Lu
18,501A
19,537 MEL
20,5637
21,59M
22,600MPE
23,624 mel
24,639-V
25,647-V
26,697
27,769-P
28,786-0
29,8-MG-BA
30,8305C
31,8505C
32,888-mel
33,928 mel
34,A101D
35,A1207
36,A172
37,A204
38,A2058
39,A253
40,A2780
41,A3-KAW
42,A375
43,A388
44,A4-Fuk
45,A427
46,A431
47,A498
48,A549
49,A673
50,A704
51,ABC-1
52,ACC-MESO-1
53,ACCS
54,ACHN
55,ACN
56,AGS
57,Alexander cells
58,ALL-PO
59,ALL-SIL
60,AM-38
61,AML-193
62,AMO-1
63,AN3-CA
64,ARH-77
65,ASH-3
66,ASKA
67,AsPC-1
68,ATN-1
69,ATRFLOX
70,AU565
71,AU655
72,AZ-521
73,BALL-1
74,BB30-HNC
75,BB49-HNC
76,BB65-RCC
77,BC-1
78,BC-2
79,BC-3
80,BC-3C
81,BCP-1
82,BCPAP
83,BDCM
84,BE-13
85,BE2-M17
86,Becker
87,BEN
88,BFTC-905
89,BFTC-909
90,BGC-823
91,BHT-101
92,BHY
93,BICR 10
94,BICR 16
95,BICR 18
96,BICR 22
97,BICR 31
98,BICR 56
99,BICR 6
100,BICR 78
101,BJ hTERT
102,BJAB
103,BL-41
104,BL-70
105,BOKU
106,BONNA-12
107,BPH-1
108,BT-20
109,BT-474
110,BT-483
111,BT-549
112,BT112
113,BT12
114,BT131
115,BT139
116,BT145
117,BT147
118,BT159
119,BT16
120,BT164
121,BT172
122,BT179
123,BT187
124,BT216
125,BT224
126,BT228
127,BT231
128,BT232
129,BT239
130,BT245
131,BT248
132,BT271
133,BT286
134,BT320
135,BT328
136,BT330
137,BT333
138,BT340
139,BT359
140,BT416
141,BT422
142,BT428
143,BT440
144,BT444
145,BT482
146,BT498
147,BT504
148,BV-173
149,BxPC-3
150,C-33-A
151,C-4 I
152,C170
153,C2BBe1
154,C32
155,C32TG
156,C3A
157,C8166
158,Ca-Ski
159,CA46
160,Ca9-22
161,Caco-2
162,CADO-ES1
163,CAKI-1
164,Caki-2
165,CAL-120
166,CAL-12T
167,CAL-148
168,CAL-27
169,CAL-29
170,CAL-33
171,CAL-39
172,CAL-51
173,CAL-54
174,CAL-62
175,CAL-72
176,CAL-78
177,CAL-85-1
178,Calu-1
179,Calu-3
180,Calu-6
181,CAMA-1
182,Caov-3
183,Caov-4
184,CAPAN-1
185,Capan-2
